,bt1,mt1,bp1,ws,wd,wd_compass_dir,wg,wgd,wgd_compass_dir,sh1,rg,rgt,st1,sv1,si1,su1,bcs,bpc,cfr,css,hth,pm1e10,pm1s25,wbt,pm1e25,pm1s100,wbgt,pm1e100,pm1s10
count,163825.0,163825.0,163825.0,163825.0,163825.0,163809,163825.0,163825.0,140748,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0,163825.0
unique,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,,
top,,,,,,SW,,,SW,,,,,,,,,,,,,,,,,,,,
freq,,,,,,63286,,,46062,,,,,,,,,,,,,,,,,,,,
mean,8.35,7.04,841.14,0.84,166.48,,1.52,12.49,,48.27,0.0,0.43,7.27,350.62,1248.09,0.49,3.04,92.05,0.02,62.94,45167.29,4.3,6.02,1.85,5.75,6.41,-265.86,6.25,4.53
std,8.41,8.86,21.62,0.89,101.54,,1.51,420.52,,24.58,0.12,2.28,8.72,147.41,1627.83,0.8,0.29,13.34,0.6,13.61,1204354.31,8.46,14.69,5.99,11.73,15.25,446.11,12.72,10.93
min,-19.6,-22.4,0.0,0.0,-999.0,,0.0,-999.0,,0.0,0.0,0.0,-21.6,0.0,0.0,0.0,2.0,6.0,0.0,-1.0,0.0,0.0,0.0,-23.1,0.0,0.0,-999.9,0.0,0.0
25%,2.2,0.5,838.0,0.2,78.0,,0.5,48.0,,27.5,0.0,0.0,0.8,260.0,253.0,0.0,3.0,94.0,0.0,47.5,0.0,0.0,0.0,-2.3,0.0,0.0,-999.9,0.0,0.0
50%,8.0,6.7,842.0,0.6,210.0,,1.1,190.0,,43.8,0.0,0.0,6.9,262.0,264.0,0.0,3.0,94.6,0.0,72.5,0.0,1.0,2.0,2.2,2.0,2.0,0.7,2.0,1.0
75%,13.9,12.9,845.8,1.2,234.0,,2.1,238.0,,67.9,0.0,0.2,13.1,395.0,1752.0,0.7,3.0,96.5,0.0,72.5,0.0,5.0,6.0,6.4,6.0,7.0,7.9,7.0,5.0
max,33.0,33.8,1017.8,8.3,359.0,,58.1,359.0,,98.7,19.0,159.2,33.0,1147.0,8835.0,4.8,4.0,100.0,16.0,100.0,33537609.0,368.0,1201.0,17.6,799.0,1325.0,23.5,882.0,553.0
